Tweet,Date,FC,RC,Hashtags,DOW,Month,Hour,Minute,Time
"While Hillary profits off the rigged system, I am fighting for you! Remember the simple phrase: #FollowTheMoney https://www.facebook.com/DonaldTrump/videos/10157784190830725/",2016-09-29 22:17:55+00:00,25216,14203,#FollowTheMoney,Thursday,9,22,17,22.28
My condolences to those involved in today's horrible accident in NJ and my deepest gratitude to all of the amazing first responders.,2016-09-29 18:05:56+00:00,32272,9273,,Thursday,9,18,5,18.08
"Every on-line poll, Time Magazine, Drudge etc., has me winning the debate. Thank you to Fox & Friends for so reporting!",2016-09-28 12:41:03+00:00,31202,9153,,Wednesday,9,12,41,12.68
My supporters are the best! $18 million from hard-working people who KNOW what we can be again! Shatter the record:,2016-09-28 02:17:06+00:00,24023,8366,,Wednesday,9,2,17,2.28
"Unbelievable evening in Melbourne, Florida w/ 15,000 supporters- and an additional 12,000 who could not get in. Thank you! #TrumpTrain #MAGA – at Orlando Sanford International Airport (SFB)",2016-09-28 01:03:03+00:00,37501,13726,#TrumpTrain #MAGA,Wednesday,9,1,3,1.05
"In the last 24 hrs. we have raised over $13M from online donations and National Call Day, and we’re still going! Thank you America! #MAGA",2016-09-27 19:37:22+00:00,30213,9022,#MAGA,Tuesday,9,19,37,19.62
"Well, now they're saying that I not only won the NBC Presidential Forum, but last night the big debate. Nice!",2016-09-27 17:47:36+00:00,29950,9340,,Tuesday,9,17,47,17.78
Such a great honor. Final debate polls are in - and the MOVEMENT wins! #AmericaFirst #MAGA #ImWithYou http://www.DonaldJTrump.com,2016-09-27 15:47:29+00:00,28251,14396,#AmericaFirst #MAGA #ImWithYou,Tuesday,9,15,47,15.78
Hillary's been failing for 30 years in not getting the job done - it will never change.,2016-09-27 14:49:09+00:00,32818,12908,,Tuesday,9,14,49,14.82
The #1 trend on Twitter right now is #TrumpWon - thank you!,2016-09-27 13:17:40+00:00,49095,17788,#TrumpWon,Tuesday,9,13,17,13.28
I won every poll from last nights Presidential Debate - except for the little watched @CNN poll.,2016-09-27 13:14:55+00:00,27359,9197,,Tuesday,9,13,14,13.23
I really enjoyed the debate last night.Crooked Hillary says she is going to do so many things.Why hasn't she done them in her last 30 years?,2016-09-27 12:53:42+00:00,60549,21048,,Tuesday,9,12,53,12.88
"Thank you! Four new #DebateNight polls with the MOVEMENT winning. Together, we will MAKE AMERICA SAFE &amp; GREAT AGAIN! http://www.DonaldJTrump.com",2016-09-27 06:32:29+00:00,20666,9177,#DebateNight,Tuesday,9,6,32,6.53
.@DRUDGE_REPORT's First Presidential Debate Poll: Trump: 80% Clinton: 20% Join the MOVEMENT today &amp; lets #MAGA! http://www.DonaldJTrump.com,2016-09-27 05:54:42+00:00,21378,9223,#MAGA,Tuesday,9,5,54,5.9
"Thank you! CNBC #DebateNight poll with over 400,000 votes. Trump 61% Clinton 39% #AmericaFirst #ImWithYou https://instagram.com/p/BK2RrsHjTDR/",2016-09-27 05:44:02+00:00,30030,13888,#DebateNight #AmericaFirst #ImWithYou,Tuesday,9,5,44,5.73
"Wow, did great in the debate polls (except for @CNN - which I don't watch). Thank you!",2016-09-27 04:34:09+00:00,33547,10396,,Tuesday,9,4,34,4.57
Thank you Senator @TedCruz! #Debates2016 #MAGA,2016-09-27 03:58:24+00:00,34543,16082,#Debates2016 #MAGA,Tuesday,9,3,58,3.97
Nothing on emails. Nothing on the corrupt Clinton Foundation. And nothing on #Benghazi. #Debates2016 #debatenight,2016-09-27 02:40:26+00:00,48316,24935,#Benghazi #Debates2016 #debatenight,Tuesday,9,2,40,2.67
"Russia has more warheads than ever, N Korea is testing nukes, and Iran got a sweetheart deal to keep theirs. Thanks, @HillaryClinton.",2016-09-27 02:28:26+00:00,22839,9994,,Tuesday,9,2,28,2.47
Hillary Clinton failed all over the world. LIBYA SYRIA IRAN IRAQ ASIA PIVOT RUSSIAN RESET BENGHAZI #DebateNight – at Hofstra University,2016-09-27 02:26:13+00:00,35292,18754,#DebateNight,Tuesday,9,2,26,2.43
"Join me in Manheim, Pennsylvania on Saturday at 7pm! #TrumpRally Tickets: https://www.donaldjtrump.com/schedule/register/manheim-pa/",2016-09-29 19:16:40+00:00,13181,5908,#TrumpRally,Thursday,9,19,16,19.27
"Will be in Novi, Michigan this Friday at 5:00pm. Join the MOVEMENT! Tickets available at: https://www.donaldjtrump.com/schedule/register/novi-mi/ #AmericaFirst #TrumpTrain",2016-09-29 03:42:03+00:00,13183,6032,#AmericaFirst #TrumpTrain,Thursday,9,3,42,3.7
"Thank you Waukesha, Wisconsin! Full transcript of my speech, #FollowTheMoney: http://bit.ly/2cMpbnvFollowTheMoney – at Waukesha County Airport (UES)",2016-09-29 02:51:57+00:00,13188,5650,#FollowTheMoney,Thursday,9,2,51,2.85
"Thank you Council Bluffs, Iowa! Will be back soon. Remember- everything you need to know about Hillary -- just #FollowTheMoney.",2016-09-28 22:54:59+00:00,16771,7293,#FollowTheMoney,Wednesday,9,22,54,22.9
An honor to meet with the Polish American Congress in Chicago this morning! #ImWithYou Video: http://bit.ly/2dah1e7TrumpFBLive,2016-09-28 17:40:10+00:00,14488,6095,#ImWithYou,Wednesday,9,17,40,17.67
"Once again, we will have a government of, by and for the people. Join the MOVEMENT today! http://bit.ly/2dxrgjaMOVEMENT",2016-09-27 21:08:22+00:00,18793,8024,,Tuesday,9,21,8,21.13
Hillary Clinton's Campaign Continues To Make False Claims About Foundation Disclosure: http://bit.ly/2d4cDe8,2016-09-27 20:14:33+00:00,13112,6007,,Tuesday,9,20,14,20.23
"'CNBC, Time magazine online polls say Donald Trump won the first presidential debate' via @WashTimes. #MAGA",2016-09-27 20:06:25+00:00,14750,6314,#MAGA,Tuesday,9,20,6,20.1
Great afternoon in Little Havana with Hispanic community leaders. Thank you for your support! #ImWithYou,2016-09-27 19:59:04+00:00,19923,7450,#ImWithYou,Tuesday,9,19,59,19.98
'U.S. Murders Increased 10.8% in 2015' via @WSJ:,2016-09-27 14:55:57+00:00,10512,6110,,Tuesday,9,14,55,14.92
Thank you! #TrumpWon #MAGA,2016-09-27 14:51:25+00:00,16565,7444,#TrumpWon #MAGA,Tuesday,9,14,51,14.85
'True blue-collar billionaire Donald Trump shows Hillary Clinton is out of touch',2016-09-27 13:49:07+00:00,13774,6326,,Tuesday,9,13,49,13.82
'How Trump won over a bar full of undecideds and Democrats',2016-09-27 12:55:31+00:00,14935,6951,,Tuesday,9,12,55,12.92
"TIME #DebateNight poll - over 800,000 votes. Thank you! #AmericaFirst #MAGA",2016-09-27 05:36:33+00:00,22854,10267,#DebateNight #AmericaFirst #MAGA,Tuesday,9,5,36,5.6
".@newtgingrich just said ""a historic victory for Trump."" NICE!",2016-09-27 05:18:10+00:00,20444,6518,,Tuesday,9,5,18,5.3
Thank you Governor @TerryBranstad! #AmericaFirst #Debates2016,2016-09-27 04:02:51+00:00,12256,4758,#AmericaFirst #Debates2016,Tuesday,9,4,2,4.03
Thank you Governor @Mike_Pence! Lets MAKE AMERICA SAFE AND GREAT AGAIN with the American people. #AmericaFirst #Debates2016,2016-09-27 04:01:32+00:00,19130,6419,#AmericaFirst #Debates2016,Tuesday,9,4,1,4.02
.@HillaryClinton’s Nuclear Agreement Paved The Way For The $400 Million Ransom Payment #DebateNight https://www.donaldjtrump.com/press-releases/clintons-nuclear-agreement-paved-the-way-for-the-400-million-ransom-payment,2016-09-27 02:42:49+00:00,15903,7212,#DebateNight,Tuesday,9,2,42,2.7
.@HillaryClinton - Obama #ISIS Strategy Has Allowed It To Expand To Become A Global Threat #DebateNight http://bit.ly/2cYItFY – at Hofstra University,2016-09-27 02:36:11+00:00,12494,5583,#ISIS #DebateNight,Tuesday,9,2,36,2.6
Hillary Clinton is the only candidate on stage who voted for the Iraq War. #Debates2016 #MAGA https://www.donaldjtrump.com/press-releases/hillary-clinton-is-the-only-candidate-on-stage-to-vote-for-iraq-war,2016-09-27 02:21:59+00:00,17037,7436,#Debates2016 #MAGA,Tuesday,9,2,21,2.35
I will stand with police and protect ALL Americans! #Debates2016 #MAGA,2016-09-27 01:51:58+00:00,29516,10356,#Debates2016 #MAGA,Tuesday,9,1,51,1.85
.@HillaryClinton has been part of the rigged DC system for 30 years? Why would we take policy advice from her? #Debates2016,2016-09-27 01:28:50+00:00,19698,8139,#Debates2016,Tuesday,9,1,28,1.47
My team of deplorables will be managing my Twitter account for this evenings debate. Tune in! #DebateNight #TrumpPence16,2016-09-26 22:31:53+00:00,48029,15493,#DebateNight #TrumpPence16,Monday,9,22,31,22.52
New national Bloomberg poll just released - thank you! Join the MOVEMENT: http://www.DonaldJTrump.com. #TrumpTrain #MAGA,2016-09-26 12:02:48+00:00,23747,9402,#TrumpTrain #MAGA,Monday,9,12,2,12.03
"Really sad news: The great Arnold Palmer, the ""King,"" has died. There was no-one like him - a true champion! He will be truly missed.",2016-09-26 01:13:40+00:00,51801,13849,,Monday,9,1,13,1.22
Five people killed in Washington State by a Middle Eastern immigrant. Many people died this weekend in Ohio from drug overdoses. N.C. riots!,2016-09-26 00:18:40+00:00,24400,8969,,Monday,9,0,18,0.3
Readout of my meeting with Israeli Prime Minister Benjamin Netanyahu: https://www.facebook.com/DonaldTrump/posts/10157759149590725:0,2016-09-25 18:15:11+00:00,25475,9566,,Sunday,9,18,15,18.25
"If dopey Mark Cuban of failed Benefactor fame wants to sit in the front row, perhaps I will put Gennifer Flowers right alongside of him!",2016-09-24 17:08:17+00:00,46454,22738,,Saturday,9,17,8,17.13
"""@KellyannePolls: Trump is headed for a win, says professor who has predicted 30 years of presidential outcomes http://wpo.st/hQg-2""",2016-09-24 12:43:52+00:00,20512,8198,,Saturday,9,12,43,12.72
The @SenTedCruz endorsement was a wonderful surprise. I greatly appreciate his support! We will have a tremendous victory on November 8th.,2016-09-24 12:35:02+00:00,35412,10113,,Saturday,9,12,35,12.58
"Crooked Hillary's bad judgement forced her to announce that she would go to Charlotte on Saturday to grandstand. Dem pols said no way, dumb!",2016-09-24 02:09:56+00:00,23007,7429,,Saturday,9,2,9,2.15
"Hillary Clinton just lost every Republican she ever had, including Never Trump, all farmers & sm. biz, by saying she’ll tax estates at 65%.",2016-09-23 17:26:56+00:00,32419,16092,,Friday,9,17,26,17.43
"Great new polls! Thank you Nevada, North Carolina & Ohio. Join the MOVEMENT today & lets #MAGA! http://www.DonaldJTrump.com",2016-09-21 22:35:19+00:00,22451,8457,#MAGA,Wednesday,9,22,35,22.58
"Hopefully the violence & unrest in Charlotte will come to an immediate end. To those injured, get well soon. We need unity & leadership.",2016-09-21 13:23:13+00:00,32064,10783,,Wednesday,9,13,23,13.38
The situations in Tulsa and Charlotte are tragic. We must come together to make America safe again.,2016-09-21 13:20:15+00:00,23106,7800,,Wednesday,9,13,20,13.33
"It is a MOVEMENT - not a campaign. Leaving the past behind, changing our future. Together, we will MAKE AMERICA SAFE AND GREAT AGAIN!",2016-09-21 11:17:43+00:00,35326,13857,,Wednesday,9,11,17,11.28
"Thank you High Point, NC! I will fight for every neglected part of this nation & I will fight to bring us together as one American people!",2016-09-20 20:33:08+00:00,23790,7949,,Tuesday,9,20,33,20.55
"Hillary Clinton is taking the day off again, she needs the rest. Sleep well Hillary - see you at the debate!",2016-09-20 14:23:59+00:00,61008,23601,,Tuesday,9,14,23,14.38
Do people notice Hillary is copying my airplane rallies - she puts the plane behind her like I have been doing from the beginning.,2016-09-20 14:20:50+00:00,32517,9820,,Tuesday,9,14,20,14.33
"Crooked Hillary has been fighting ISIS, or whatever she has been doing, for years. Now she has new ideas. It is time for change.",2016-09-20 12:02:35+00:00,22778,7553,,Tuesday,9,12,2,12.03
Amazing rally in Florida - this is a MOVEMENT! Join us today at http://www.DonaldJTrump.com.,2016-09-20 00:26:50+00:00,18788,6809,,Tuesday,9,0,26,0.43
"Together, we will MAKE AMERICA SAFE AND GREAT AGAIN! #ImWithYou #AmericaFirst",2016-09-20 00:19:00+00:00,23072,8684,#ImWithYou #AmericaFirst,Tuesday,9,0,19,0.32
"Hillary Clinton's weakness while she was Secretary of State, has emboldened terrorists all over the world..cont: http://bit.ly/2cNwnwE",2016-09-19 16:53:42+00:00,20643,8527,,Monday,9,16,53,16.88
Once again someone we were told is ok turns out to be a terrorist who wants to destroy our country & its people- how did he get thru system?,2016-09-19 16:41:15+00:00,34082,12783,,Monday,9,16,41,16.68
"Great job once again by law enforcement! We are proud of them and should embrace them - without them, we don't have a country!",2016-09-19 16:32:32+00:00,40401,13197,,Monday,9,16,32,16.53
"Terrible attacks in NY, NJ and MN this weekend. Thinking of victims, their families and all Americans! We need to be strong!",2016-09-19 02:32:03+00:00,32977,10086,,Monday,9,2,32,2.53
"Under the leadership of Obama & Clinton, Americans have experienced more attacks at home than victories abroad. Time to change the playbook!",2016-09-19 02:30:34+00:00,40127,15805,,Monday,9,2,30,2.5
HAPPY BIRTHDAY - to the United States Air Force!!,2016-09-18 21:11:48+00:00,28041,9666,,Sunday,9,21,11,21.18
"I would like to express my warmest regards, best wishes and condolences to all of the families and victims of the horrible bombing in NYC.",2016-09-18 13:06:56+00:00,43391,12848,,Sunday,9,13,6,13.1
"My lawyers want to sue the failing @nytimes so badly for irresponsible intent. I said no (for now), but they are watching. Really disgusting",2016-09-17 22:57:09+00:00,22142,6422,,Saturday,9,22,57,22.95
"The failing @nytimes has gone nuts that Crooked Hillary is doing so badly. They are willing to say anything, has become a laughingstock rag!",2016-09-17 21:38:50+00:00,25370,8042,,Saturday,9,21,38,21.63
".@CNN just doesn't get it, and that's why their ratings are so low - and getting worse. Boring anti-Trump panelists, mostly losers in life!",2016-09-17 13:13:43+00:00,31955,10120,,Saturday,9,13,13,13.22
I never met former Defense Secretary Robert Gates. He knows nothing about me. But look at the results under his guidance - a total disaster!,2016-09-17 11:51:41+00:00,19460,5946,,Saturday,9,11,51,11.85
Crooked Hillary wants to take your 2nd Amendment rights away. Will guns be taken from her heavily armed Secret Service detail? Maybe not!,2016-09-17 05:53:09+00:00,32553,11484,,Saturday,9,5,53,5.88
Just arrived in Texas - have been informed two @fortworthpd officers have been shot. My thoughts and prayers are with them.,2016-09-17 04:15:53+00:00,21981,6919,,Saturday,9,4,15,4.25
Great parade in The Villages- I love you all. We will #MAGA. Thank you for the incredible support-I will not forget!,2016-09-16 21:01:27+00:00,24670,8405,#MAGA,Friday,9,21,1,21.02
I am truly honored and grateful for receiving SO much support from our American heroes...http://bit.ly/2csHFXf,2016-09-16 17:58:14+00:00,22030,8474,,Friday,9,17,58,17.97
"Instead of driving jobs and wealth away, AMERICA will become the WORLD'S great magnet for innovation & job creation!",2016-09-15 22:46:11+00:00,23759,8796,,Thursday,9,22,46,22.77
I was never a fan of Colin Powell after his weak understanding of weapons of mass destruction in Iraq = disaster. We can do much better!,2016-09-15 03:59:01+00:00,22213,6479,,Thursday,9,3,59,3.98
Thank you Ohio! Just landed in Canton for a rally at the Civic Center. Join me at 7pm: https://www.donaldjtrump.com/schedule/register/canton-oh/,2016-09-14 21:24:01+00:00,20010,6614,,Wednesday,9,21,24,21.4
Great poll Florida - thank you! #ImWithYou #AmericaFirst,2016-09-14 14:02:28+00:00,27856,9451,#ImWithYou #AmericaFirst,Wednesday,9,14,2,14.03
Thank you Ohio - see you tonight!,2016-09-14 13:44:02+00:00,18856,6251,,Wednesday,9,13,44,13.73
Why isn't President Obama working instead of campaigning for Hillary Clinton?,2016-09-14 03:09:37+00:00,50826,19726,,Wednesday,9,3,9,3.15
"Just got back from Asheville, North Carolina, where we had a massive rally. The spirit of the crowd was unbelievable. Thank you! #MAGA",2016-09-13 00:35:11+00:00,26422,6648,#MAGA,Tuesday,9,0,35,0.58
Stopped by @TrumpDC to thank all of the tremendous men &amp; women for their hard work!,2016-09-12 15:51:45+00:00,26399,7724,,Monday,9,15,51,15.85
"The seriously failing @nytimes, despite so much winning and poll numbers that will soon put me in first place, only writes dishonest hits!",2016-09-11 01:14:10+00:00,22829,6427,,Sunday,9,1,14,1.23
Hillary Clinton just had her 47% moment. What a terrible thing she said about so many great Americans!,2016-09-10 23:37:06+00:00,36672,12399,,Saturday,9,23,37,23.62
"While Hillary said horrible things about my supporters, and while many of her supporters will never vote for me, I still respect them all!",2016-09-10 18:18:37+00:00,58360,20702,,Saturday,9,18,18,18.3
"Really sad that Republicans would allow themselves to be used in a Clinton ad. Lindsey Graham, Romney, Flake, Sass. SUPREME COURT, REMEMBER!",2016-09-10 15:54:27+00:00,29525,9906,,Saturday,9,15,54,15.9
"Wow, Hillary Clinton was SO INSULTING to my supporters, millions of amazing, hard working people. I think it will cost her at the Polls!",2016-09-10 12:47:18+00:00,50116,17340,,Saturday,9,12,47,12.78
"Will be in Missouri today with Melania for the funeral of a wonderful and truly respected woman, Phyllis S!",2016-09-10 12:43:08+00:00,19977,4881,,Saturday,9,12,43,12.72
.@CNN is unwatchable. Their news on me is fiction. They are a disgrace to the broadcasting industry and an arm of the Clinton campaign.,2016-09-09 14:37:53+00:00,35240,12577,,Friday,9,14,37,14.62
The documentary of me that @CNN just aired is a total waste of time. I don't even know many of the people who spoke about me. A joke!,2016-09-09 04:10:49+00:00,21539,6613,,Friday,9,4,10,4.17
Final poll results from NBC on last nights Commander-in-Chief Forum. Thank you! #ImWithYou #MAGA,2016-09-09 02:00:32+00:00,22820,8732,#ImWithYou #MAGA,Friday,9,2,0,2.0
It wasn't Matt Lauer that hurt Hillary last night. It was her very dumb answer about emails & the veteran who said she should be in jail.,2016-09-09 00:39:36+00:00,36209,12240,,Friday,9,0,39,0.65
More poll results from last nights Commander-in-Chief Forum. #AmericaFirst #TrumpTrain,2016-09-08 23:56:22+00:00,21217,8509,#AmericaFirst #TrumpTrain,Thursday,9,23,56,23.93
Hillary Clinton answered email questions differently last night than she has in the past. She is totally confused. Unfit to serve as #POTUS.,2016-09-08 16:25:36+00:00,25239,8556,#POTUS,Thursday,9,16,25,16.42
Hillary just gave a disastrous news conference on the tarmac to make up for poor performance last night. She's being decimated by the media!,2016-09-08 15:17:47+00:00,29181,9054,,Thursday,9,15,17,15.28
"""A rough night for Hillary Clinton"" ABC News.",2016-09-08 12:10:13+00:00,23960,7076,,Thursday,9,12,10,12.17
Thank you America - great #CommanderInChiefForum polls!,2016-09-08 09:59:36+00:00,18874,7766,#CommanderInChiefForum,Thursday,9,9,59,9.98
Thank you to our fantastic veterans. The reviews and polls from almost everyone of my Commander-in-Chief presentation were great. Nice!,2016-09-08 04:02:15+00:00,30684,7752,,Thursday,9,4,2,4.03
"Thank you to all of our amazing military families, service members, and veterans. #ImWithYou",2016-09-06 20:02:26+00:00,21938,7067,#ImWithYou,Tuesday,9,20,2,20.03
Thank you! #VoteTrump #ImWithYou,2016-09-06 17:08:51+00:00,27610,10279,#VoteTrump #ImWithYou,Tuesday,9,17,8,17.13
"Mainstream media never covered Hillary’s massive “hacking” or coughing attack, yet it is #1 trending. What’s up?",2016-09-06 15:31:09+00:00,29292,11247,,Tuesday,9,15,31,15.52
"China wouldn't provide a red carpet stairway from Air Force One and then Philippines President calls Obama ""the son of a whore."" Terrible!",2016-09-06 11:12:11+00:00,25655,8986,,Tuesday,9,11,12,11.2
"The truly great Phyllis Schlafly, who honored me with her strong endorsement for president, has passed away at 92. She was very special!",2016-09-06 11:00:56+00:00,22077,5871,,Tuesday,9,11,0,11.0
Thank you Ohio! #AmericaFirst,2016-09-05 22:46:00+00:00,21718,7807,#AmericaFirst,Monday,9,22,46,22.77
"Heading to Youngstown, Ohio now- some great polls. #AmericaFirst",2016-09-05 18:26:10+00:00,21646,8521,#AmericaFirst,Monday,9,18,26,18.43
President Obama & Putin fail to reach deal on Syria - so what else is new? Obama is not a natural deal maker. Only makes bad deals!,2016-09-05 13:49:00+00:00,23566,7906,,Monday,9,13,49,13.82
"Lyin' Hillary Clinton told the FBI that she did not know the ""C"" markings on documents stood for CLASSIFIED. How can this be happening?",2016-09-04 23:49:48+00:00,40403,15661,,Sunday,9,23,49,23.82
"To the African-American community: The Democrats have failed you for fifty years, high crime, poor schools, no jobs. I will fix it, VOTE ""T""",2016-09-04 23:26:41+00:00,30527,10265,,Sunday,9,23,26,23.43
The polls are close so Crooked Hillary is getting out of bed and will campaign tomorrow.Why did she hammer 13 devices and acid-wash e-mails?,2016-09-04 23:17:38+00:00,29263,11301,,Sunday,9,23,17,23.28
"Wow, the failing @nytimes has not reported properly on Crooked's FBI release. They are at the back of the pack - no longer a credible source",2016-09-04 12:55:58+00:00,24045,7742,,Sunday,9,12,55,12.92
".@CNN is so disgusting in their bias, but they are having a hard time promoting Crooked Hillary in light of the new e-mail scandals.",2016-09-03 20:36:39+00:00,33201,11383,,Saturday,9,20,36,20.6
"Great visit to Detroit church, fantastic reception, and all @CNN talks about is a small protest outside. Inside a large and wonderful crowd!",2016-09-03 20:33:36+00:00,31391,9807,,Saturday,9,20,33,20.55
"Thank you Great Faith Ministries International, Bishop Wayne T. Jackson, and Detroit!",2016-09-03 17:27:53+00:00,23645,9131,,Saturday,9,17,27,17.45
Great new poll Iowa - thank you! #MakeAmericaGreatAgain #ImWithYou,2016-09-02 16:55:57+00:00,21031,8468,#MakeAmericaGreatAgain #ImWithYou,Friday,9,16,55,16.92
"I visited our Trump Tower campaign headquarters last night, after returning from Ohio and Arizona, and it was packed with great pros - WIN!",2016-09-02 12:35:44+00:00,24413,5953,,Friday,9,12,35,12.58
People will be very surprised by our ground game on Nov. 8. We have an army of volunteers and people with GREAT SPIRIT! They want to #MAGA!,2016-09-02 12:32:31+00:00,23555,7720,#MAGA,Friday,9,12,32,12.53
I am promising you a new legacy for America. We're going to create a new American future. Thank you OHIO! #ImWithYou,2016-09-01 17:05:25+00:00,24490,8029,#ImWithYou,Thursday,9,17,5,17.08
Poll numbers way up - making big progress!,2016-09-01 10:46:44+00:00,30957,8099,,Thursday,9,10,46,10.77
Thank you to @foxandfriends for the great review of the speech on immigration last night. Thank you also to the great people of Arizona!,2016-09-01 10:40:13+00:00,24163,5827,,Thursday,9,10,40,10.67
Mexico will pay for the wall!,2016-09-01 10:31:17+00:00,56371,36221,,Thursday,9,10,31,10.52
Great trip to Mexico today - wonderful leadership and high quality people! Look forward to our next meeting.,2016-09-01 00:43:00+00:00,29298,8167,,Thursday,9,0,43,0.72
"Hillary Clinton didn't go to Louisiana, and now she didn't go to Mexico. She doesn't have the drive or stamina to MAKE AMERICA GREAT AGAIN!",2016-09-01 00:40:07+00:00,47568,16692,,Thursday,9,0,40,0.67
"Former President Vicente Fox, who is railing against my visit to Mexico today, also invited me when he apologized for using the ""f bomb.""",2016-08-31 13:07:38+00:00,24881,8810,,Wednesday,8,13,7,13.12
"Thank you Washington! Together, WE will MAKE AMERICA SAFE AND GREAT AGAIN! #ImWithYou #AmericaFirst",2016-08-31 03:56:43+00:00,23149,7879,#ImWithYou #AmericaFirst,Wednesday,8,3,56,3.93
"I have accepted the invitation of President Enrique Pena Nieto, of Mexico, and look very much forward to meeting him tomorrow.",2016-08-31 02:33:22+00:00,46014,16616,,Wednesday,8,2,33,2.55
"From day one I said that I was going to build a great wall on the SOUTHERN BORDER, and much more. Stop illegal immigration. Watch Wednesday!",2016-08-30 10:27:21+00:00,28019,9129,,Tuesday,8,10,27,10.45
"Now that African-Americans are seeing what a bad job Hillary type policy and management has done to the inner-cities, they want TRUMP!",2016-08-29 13:35:31+00:00,22912,7254,,Monday,8,13,35,13.58
"Does anyone know that Crooked Hillary, who tried so hard, was unable to pass the Bar Exams in Washington D.C. She was forced to go elsewhere",2016-08-29 13:23:02+00:00,24966,8813,,Monday,8,13,23,13.38
"I will be making a major speech on ILLEGAL IMMIGRATION on Wednesday in the GREAT State of Arizona. Big crowds, looking for a larger venue.",2016-08-28 23:27:59+00:00,27477,8675,,Sunday,8,23,27,23.45
"I think that both candidates, Crooked Hillary and myself, should release detailed medical records. I have no problem in doing so! Hillary?",2016-08-28 23:24:14+00:00,42670,15697,,Sunday,8,23,24,23.4
"Today is the 53rd anniversary of the March on Washington - today we honor the enduring fight for justice, equality and opportunity.",2016-08-28 22:12:27+00:00,23853,7048,,Sunday,8,22,12,22.2
NATIONAL DEBT January 2009 = $10.6 TRILLION August 2016 = $19.4 TRILLION,2016-08-28 02:33:29+00:00,18245,10070,,Sunday,8,2,33,2.55
"My condolences to Dwyane Wade and his family, on the loss of Nykea Aldridge. They are in my thoughts and prayers.",2016-08-27 17:48:47+00:00,25676,7324,,Saturday,8,17,48,17.8
Dwyane Wade's cousin was just shot and killed walking her baby in Chicago. Just what I have been saying. African-Americans will VOTE TRUMP!,2016-08-27 16:26:08+00:00,22645,7511,,Saturday,8,16,26,16.43
Heroin overdoses are taking over our children and others in the MIDWEST. Coming in from our southern border. We need strong border & WALL!,2016-08-27 14:17:14+00:00,28730,9470,,Saturday,8,14,17,14.28
New polls - join the MOVEMENT today. http://www.DonaldJTrump.com #ImWithYou,2016-08-27 00:32:59+00:00,21872,9604,#ImWithYou,Saturday,8,0,32,0.53
"How quickly people forget that Crooked Hillary called African-American youth ""SUPER PREDATORS"" - Has she apologized?",2016-08-26 17:14:09+00:00,26493,12851,,Friday,8,17,14,17.23
I am very proud to have brought the subject of illegal immigration back into the discussion. Such a big problem for our country-I will solve,2016-08-26 16:01:03+00:00,26487,7408,,Friday,8,16,1,16.02
"What do African-Americans and Hispanics have to lose by going with me. Look at the poverty, crime and educational statistics. I will fix it!",2016-08-26 14:20:55+00:00,25562,8698,,Friday,8,14,20,14.33
"Crooked Hillary will NEVER be able to solve the problems of poverty, education and safety within the African-American & Hispanic communities",2016-08-26 13:50:42+00:00,23721,7369,,Friday,8,13,50,13.83
"""Hillary Clinton needs to address the racist undertones of her 2008 campaign."" #FlashbackFriday",2016-08-26 02:58:51+00:00,25849,13485,#FlashbackFriday,Friday,8,2,58,2.97
"Hillary Clinton only knows how to make a speech when it is a hit on me. No policy, and always very short (stamina). Media gives her a pass!",2016-08-26 02:40:04+00:00,22431,7581,,Friday,8,2,40,2.67
"HRC is using the oldest play in the Dem playbook- when their policies fail, they are left w/this one tired argument! http://www.snappytv.com/tc/2673821",2016-08-25 21:25:15+00:00,18936,8563,,Thursday,8,21,25,21.42
Hillary Clinton is using race-baiting to try to get African-American voters- but they know she is all talk and NO ACTION!,2016-08-25 20:45:38+00:00,23513,8160,,Thursday,8,20,45,20.75
Hillary Clinton's short speech is pandering to the worst instincts in our society. She should be ashamed of herself!,2016-08-25 20:14:20+00:00,22806,7650,,Thursday,8,20,14,20.23
"So many in the African-American community are doing so badly, poverty and crime way up, employment and jobs way down: I will fix it, promise",2016-08-25 12:44:55+00:00,28090,9063,,Thursday,8,12,44,12.73
"Poll numbers are starting to look very good. Leading in Florida @CNN Arizona and big jump in Utah. All numbers rising, national way up. Wow!",2016-08-25 12:34:58+00:00,28307,8461,,Thursday,8,12,34,12.57
Great Governor @Mike_Pence is in Indiana to help lead the relief efforts after tornadoes struck. True leadership.,2016-08-25 01:40:08+00:00,22755,6353,,Thursday,8,1,40,1.67
My thoughts and prayers are with the victims and families of those affected by two powerful earthquakes in Italy and Myanmar.,2016-08-24 14:01:46+00:00,29080,7234,,Wednesday,8,14,1,14.02
"In Austin, Texas with some of our amazing Border Patrol Agents. I will not let them down! https://instagram.com/p/BJdya79DXOF/",2016-08-23 21:21:59+00:00,22098,7132,,Tuesday,8,21,21,21.35
"President Obama should have gone to Louisiana days ago, instead of golfing. Too little, too late!",2016-08-23 16:15:25+00:00,42333,18802,,Tuesday,8,16,15,16.25
"It is being reported by virtually everyone, and is a fact, that the media pile on against me is the worst in American political history!",2016-08-23 13:53:11+00:00,33012,9925,,Tuesday,8,13,53,13.88
I am now in Texas doing a big fundraiser for the Republican Party and a @FoxNews Special on the BORDER and with victims of border crime!,2016-08-23 12:56:46+00:00,19609,5582,,Tuesday,8,12,56,12.93
