Tweet,Date,FC,RC,Hashtags,DOW,Month,Hour,Minute,Time
"Do you think Crooked Hillary will finally close the deal? If she can't win Kentucky, she should drop out of race. System rigged!",2016-05-17 23:37:06+00:00,9944,2974,,Tuesday,5,23,37,23.62
I will be live tweeting my interview with @megynkelly on the Fox Network tonight at 8! Enjoy!,2016-05-17 21:19:17+00:00,17965,4383,,Tuesday,5,21,19,21.32
"I look forward to watching @megynkelly tonight, 8 PM ET. It will be interesting to see how she treats me—I think she will be very fair.",2016-05-17 15:25:41+00:00,10511,2699,,Tuesday,5,15,25,15.42
"How can Crooked Hillary put her husband in charge of the economy when he was responsible for NAFTA, the worst economic deal in U.S. history?",2016-05-17 14:21:55+00:00,18575,6934,,Tuesday,5,14,21,14.35
"Crooked Hillary said her husband is going to be in charge of the economy.If so, he should run,not her.Will he bring the ""energizer"" to D.C.?",2016-05-17 14:17:07+00:00,11890,4309,,Tuesday,5,14,17,14.28
#VoteTrump at clerk's offices &amp; 185 ballot drop boxes in #ORPrimary! Closes at 8pm! http://bit.ly/1TXfrExVoteTRUMP,2016-05-17 13:58:08+00:00,5878,2367,#VoteTrump #ORPrimary,Tuesday,5,13,58,13.97
Crooked Hillary can't close the deal with Bernie Sanders. Will be another bad day for her!,2016-05-17 12:31:53+00:00,9908,3032,,Tuesday,5,12,31,12.52
Amazing that Crooked Hillary can do a hit ad on me concerning women when her husband was the WORST abuser of woman in U.S. political history,2016-05-17 11:58:10+00:00,30698,11864,,Tuesday,5,11,58,11.97
Oregon is voting today. Keep the big numbers going - VOTE TRUMP! MAKE AMERICA GREAT AGAIN!,2016-05-17 11:52:00+00:00,9689,3369,,Tuesday,5,11,52,11.87
Crooked Hillary Clinton put out an ad where I am misquoted on women. Can't believe she would misrepresent the facts! My hit was on China,2016-05-17 11:46:22+00:00,9525,3009,,Tuesday,5,11,46,11.77
"The pathetic new hit ad against me misrepresents the final line. ""You can tell them to go BLANK themselves"" - was about China, NOT WOMEN!",2016-05-17 11:37:03+00:00,11316,4013,,Tuesday,5,11,37,11.62
"Wow, 30,000 e-mails were deleted by Crooked Hillary Clinton. She said they had to do with a wedding reception. Liar! How can she run?",2016-05-17 11:29:09+00:00,17559,6826,,Tuesday,5,11,29,11.48
"What Barbara Res does not say is that she would call my company endlessly, and for years, trying to come back. I said no.",2016-05-17 04:02:45+00:00,8067,2553,,Tuesday,5,4,2,4.03
"I gave a woman named Barbara Res a top N.Y. construction job, when that was unheard of, and now she is nasty. So much for a nice thank you!",2016-05-17 03:46:35+00:00,10505,3263,,Tuesday,5,3,46,3.77
"""In politics, and in life, ignorance is not a virtue."" This is a primary reason that President Obama is the worst president in U.S. history!",2016-05-17 01:08:17+00:00,20096,7913,,Tuesday,5,1,8,1.13
"The writer of the now proven false story in the @nytimes, Michael Barbaro, who was interviewed on CBS this morning, was unable to respond.",2016-05-16 22:15:52+00:00,10917,3742,,Monday,5,22,15,22.25
Over 50 women were interviewed by the @nytimes yet they only wrote about 6. That’s because there were so many positive statements.,2016-05-16 22:14:19+00:00,11470,4006,,Monday,5,22,14,22.23
"No wonder the @nytimes is failing—who can believe what they write after the false, malicious &amp; libelous story they did on me.",2016-05-16 22:13:20+00:00,9826,3176,,Monday,5,22,13,22.22
The failing @nytimes is greatly embarrassed by the totally dishonest story they did on my relationship with women.,2016-05-16 22:12:53+00:00,9487,2886,,Monday,5,22,12,22.2
"Rowanne Brewer, the most prominently depicted woman in the failing @nytimes story yesterday joined @foxandfriends.",2016-05-16 21:50:40+00:00,7763,3226,,Monday,5,21,50,21.83
"With the coming forward today of the woman central to the failing @nytimes hit piece on me, we have exposed the article as a fraud!",2016-05-16 15:25:02+00:00,13532,4642,,Monday,5,15,25,15.42
